aam_appasset
pk_asset,assetname,dataidname
1001Z310000000039ZVP,菜单-差旅费报销单,差旅费报销单
1001Z310000000039ZVQ,菜单-初始设置,初始设置
1001Z310000000039ZVR,菜单-费用类型设置,费用类型设置
1001Z310000000039ZVS,菜单-个人授权设置,个人授权设置
1001Z310000000039ZVT,菜单-报销类型设置,报销类型设置
1001Z310000000039ZVU,菜单-差旅费借款单,差旅费借款单
1001Z310000000039ZVV,菜单-借款明细查询,借款明细查询
1001Z310000000039ZVW,菜单-借款余额查询,借款余额查询
1001Z310000000039ZVX,菜单-费用明细查询,费用明细查询
1001Z310000000039ZXQ,业务事件插件-费用申请单回写控制,费用申请单回写控制
1001Z310000000039ZXS,业务事件插件-单据取消生效时需要校验结账情况,单据取消生效时需要校验结账情况
1001Z310000000039ZXT,业务事件插件-借款报销预算控制插件,借款报销预算控制插件
1001Z310000000039ZXU,业务事件插件-借款报销预算控制插件,借款报销预算控制插件
1001Z310000000039ZXV,业务事件插件-冲借款控制插件,冲借款控制插件
1001Z310000000039ZXW,业务事件插件-借款报销预算插件,借款报销预算插件
1001Z310000000039ZXX,业务事件插件-冲借款控制插件,冲借款控制插件
1001Z310000000039ZY0,业务事件插件-借款控制插件,借款控制插件
1001Z310000000039ZY1,业务事件插件-费用结转单预算控制,费用结转单预算控制
1001Z310000000039ZY2,业务事件插件-费用结转单预算控制,费用结转单预算控制
1001Z310000000039ZY3,业务事件插件-费用结转单预算控制,费用结转单预算控制
1001Z310000000039ZY4,业务事件插件-费用结转单预算控制,费用结转单预算控制
1001Z310000000039ZY5,业务事件插件-费用结转单预算控制,费用结转单预算控制
1001Z310000000039ZOX,交易类型-费用申请单,费用申请单
1001Z310000000039ZOZ,交易类型-费用申请单,费用申请单
1001Z310000000039ZP0,交易类型-差旅费借款单,差旅费借款单
1001Z310000000039ZVY,菜单-费用汇总查询,费用汇总查询
1001Z310000000039ZVZ,菜单-期末处理,期末处理
1001Z310000000039ZW0,菜单-关账,关账
1001Z310000000039ZY7,业务事件插件-费用申请单预算控制,费用申请单预算控制
1001Z310000000039ZY8,业务事件插件-事项审批单预算控制,事项审批单预算控制
1001Z310000000039ZYA,业务事件插件-事项审批单预算控制,事项审批单预算控制
1001Z310000000039ZYB,业务事件插件-报销单转摊销控制插件,报销单转摊销控制插件
1001Z310000000039ZYC,业务事件插件-报销摊销设置控制插件,报销摊销设置控制插件
1001Z31000000003A01J,预警类型-费用申请单自动关闭,费用申请单自动关闭
1001Z31000000003A01K,预警类型-待摊费用定期自动摊销任务,待摊费用定期自动摊销任务
1001Z31000000003A01N,业务事件类型-ERM1041,ERM1041
1001Z31000000003A01O,业务事件类型-ERM1019,ERM1019
1001Z31000000003A01P,业务事件类型-ERM1020,ERM1020
1001Z31000000003A01Q,业务事件类型-ERM1021,ERM1021
1001Z31000000003A01R,业务事件类型-ERM1022,ERM1022
1001Z31000000003A01S,业务事件类型-ERM1033,ERM1033
1001Z31000000003A01T,业务事件类型-ERM1034,ERM1034
1001Z31000000003A011,消息模板-報銷預警消息模板,報銷預警消息模板
1001Z31000000003A01U,业务事件类型-ERM1031,ERM1031
1001Z31000000003A01W,业务事件类型-ERM1001,ERM1001
1001Z31000000003A01Z,业务事件类型-ERM1004,ERM1004
1001Z31000000003A020,业务事件类型-ERM1005,ERM1005
1001Z31000000003A021,业务事件类型-ERM1006,ERM1006
1001Z31000000003A022,业务事件类型-ERM1011,ERM1011
1001Z31000000003A024,业务事件类型-ERM1013,ERM1013
1001Z31000000003A025,业务事件类型-ERM1014,ERM1014
1001Z31000000003A026,业务事件类型-ERM1001,ERM1001
1001Z31000000003A027,业务事件类型-ERM1002,ERM1002
1001Z31000000003A028,业务事件类型-ERM1003,ERM1003
1001Z31000000003A029,业务事件类型-ERM1004,ERM1004
1001Z31000000003A02A,业务事件类型-ERM1005,ERM1005
1001Z310000000039ZYD,业务事件插件-摊销预算控制插件,摊销预算控制插件
1001Z310000000039ZYE,业务事件插件-摊销费用帐插件,摊销费用帐插件
1001Z310000000039ZYH,业务事件插件-报销单转费用结转单插件,报销单转费用结转单插件
1001Z310000000039ZYI,业务事件插件-报销单转费用结转单插件,报销单转费用结转单插件
1001Z310000000039ZYJ,业务事件插件-报销单转费用结转单插件,报销单转费用结转单插件
1001Z310000000039ZYK,业务事件插件-报销单转费用结转单插件,报销单转费用结转单插件
1001Z310000000039ZYL,业务事件插件-费用账表同步,费用账表同步
1001Z310000000039ZP1,交易类型-会议费借款单,会议费借款单
1001Z310000000039ZP2,交易类型-主借款单,主借款单
1001Z310000000039ZP3,交易类型-差旅费报销单,差旅费报销单
1001Z310000000039ZP4,交易类型-交通费报销单,交通费报销单
1001Z310000000039ZP5,交易类型-通讯费报销单,通讯费报销单
1001Z310000000039ZP7,交易类型-招待费报销单,招待费报销单
1001Z310000000039ZP8,交易类型-会议费报销单,会议费报销单
1001Z310000000039ZP9,交易类型-还款单,还款单
1001Z310000000039ZPA,交易类型-主报销单,主报销单
1001Z310000000039ZPB,交易类型-费用结转单,费用结转单
1001Z310000000039ZPC,交易类型-费用结转单,费用结转单
1001Z310000000039ZPD,交易类型-摊销信息,摊销信息
1001Z31000000003A02B,业务事件类型-ERM1006,ERM1006
1001Z31000000003A02C,业务事件类型-ERM1023,ERM1023
1001Z31000000003A02D,业务事件类型-ERM1024,ERM1024
1001Z31000000003A02E,业务事件类型-ERM1025,ERM1025
1001Z31000000003A02F,业务事件类型-ERM1026,ERM1026
1001Z31000000003A02G,业务事件类型-ERM1003,ERM1003
1001Z31000000003A02H,业务事件类型-ERM1001,ERM1001
1001Z31000000003A01V,业务事件类型-ERM1032,ERM1032
1001Z31000000003A02Q,业务事件类型-ERM1023,ERM1023
1001Z31000000003A02R,业务事件类型-ERM1024,ERM1024
1001Z31000000003A02S,业务事件类型-ERM1025,ERM1025
1001Z31000000003A02T,业务事件类型-ERM1026,ERM1026
1001Z31000000003A02U,业务事件类型-ERM1013,ERM1013
1001Z31000000003A02V,业务事件类型-ERM1039,ERM1039
1001Z31000000003A02W,业务事件类型-ERM1040,ERM1040
1001Z31000000003A02X,业务事件类型-ERM1035,ERM1035
1001Z31000000003A032,报表-借款人借款余额表,借款人借款余额表
1001Z31000000003A02J,业务事件类型-ERM1004,ERM1004
1001Z31000000003A02K,业务事件类型-ERM1005,ERM1005
1001Z31000000003A02L,业务事件类型-ERM1006,ERM1006
1001Z31000000003A02M,业务事件类型-ERM1011,ERM1011
1001Z31000000003A02O,业务事件类型-ERM1013,ERM1013
1001Z31000000003A02P,业务事件类型-ERM1014,ERM1014
